SUBSTÂNCIA;CNPJ;LABORATÓRIO;CÓDIGO GGREM;REGISTRO;EAN 1;EAN 2;EAN 3;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);REGIME DE PREÇO;PF Sem Impostos;PF 0%;PF 12%;PF 17%;PF 17% ALC;PF 17,5%;PF 17,5% ALC;PF 18%;PF 18% ALC;PF 20%;PMC 0%;PMC 12%;PMC 17%;PMC 17% ALC;PMC 17,5%;PMC 17,5% ALC;PMC 18%;PMC 18% ALC;PMC 20%;RESTRIÇÃO HOSPITALAR;CAP;CONFAZ 87;ICMS 0%;ANÁLISE RECURSAL;LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS);COMERCIALIZAÇÃO 2020;TARJA
SINVASTATINA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;ZOCOR;10 MG COM REV CT BL AL PVC/PE/PVDC INC X 30;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA;Novo;Regulado;57,22;57,22;65,02;68,94;68,94;69,36;69,36;69,78;69,78;71,53;79,1;89,89;95,31;95,31;95,89;95,89;96,47;96,47;98,89;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;HYZAAR;50 MG + 12,5 MG COM REV OR CT BL AL PLAS BCO OPC X 15;C9D1 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A ANTIHIPERTENSIVOS (C2) E/OU DIURÉTICOS;Novo;Regulado;18,55;18,55;21,08;22,35;22,35;22,48;22,48;22,62;22,62;23,19;25,64;29,14;30,9;30,9;31,08;31,08;31,27;31,27;32,06;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;HYZAAR;50 MG + 12,5 MG COM REV OR CT BL AL PLAS BCO OPC X 30;C9D1 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A ANTIHIPERTENSIVOS (C2) E/OU DIURÉTICOS;Novo;Regulado;37,1;37,1;42,16;44,7;44,7;44,97;44,97;45,24;45,24;46,38;51,29;58,28;61,8;61,8;62,17;62,17;62,54;62,54;64,12;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;HYZAAR;100 MG + 25 MG COM REV OR CT BL AL PLAS BCO OPC X 15;C9D1 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A ANTIHIPERTENSIVOS (C2) E/OU DIURÉTICOS;Novo;Regulado;30,59;30,59;34,76;36,86;36,86;37,08;37,08;37,3;37,3;38,24;42,29;48,05;50,96;50,96;51,26;51,26;51,57;51,57;52,86;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;HYZAAR;100 MG + 25 MG COM REV OR CT BL AL PLAS BCO OPC X 30;C9D1 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A ANTIHIPERTENSIVOS (C2) E/OU DIURÉTICOS;Novo;Regulado;61,19;61,19;69,53;73,72;73,72;74,17;74,17;74,62;74,62;76,49;84,59;96,12;101,91;101,91;102,54;102,54;103,16;103,16;105,74;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
BENZOATO DE RIZATRIPTANA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;MAXALT;10 MG COM CT BL AL AL X 2;N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS;Novo;Regulado;18,02;18,02;20,48;21,71;21,71;21,84;21,84;21,98;21,98;22,53;24,91;28,31;30,01;30,01;30,19;30,19;30,39;30,39;31,15;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
ANTÍGENO HBS;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;RECOMBIVAX® HB;10 MCG/1,0 ML SUS INJ CT FA VD INC X 1,0  ML;J7E4 - VACINA PARA HEPATITE;Novo;Regulado;59,46;59,46;67,57;71,64;71,64;72,07;72,07;72,51;72,51;74,33;82,2;93,41;99,04;99,04;99,63;99,63;100,24;100,24;102,76;Não;Não;Sim;Não;;Positiva;Não;Tarja  Vermelha
ANTÍGENO HBS;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;RECOMBIVAX® HB;5 MCG/0,5 ML SUS INJ CT FA VD INC X 0,5 ML;J7E4 - VACINA PARA HEPATITE;Novo;Regulado;31,97;31,97;36,33;38,52;38,52;38,75;38,75;38,99;38,99;39,96;44,2;50,22;53,25;53,25;53,57;53,57;53,9;53,9;55,24;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
ALENDRONATO DE SÓDIO TRI-HIDRATADO;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;FOSAMAX;70 MG COM OR CT BL AL / AL X 4;M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS;Novo;Regulado;135,08;135,08;153,5;162,75;162,75;163,73;163,73;164,73;164,73;168,85;186,74;212,2;224,99;224,99;226,35;226,35;227,73;227,73;233,43;Não;Não;Sim;Não;;Positiva;Não;Tarja Vermelha(*)
FINASTERIDA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;PROPECIA;1 MG COM REV CT BL AL AL X 30;D11A - OUTRAS PREPARAÇÕES DERMATOLOGICAS;Similar;Regulado;107,16;120,02;138,69;148,31;129,11;149,35;129,89;150,4;130,68;154,75;161;185,26;197,69;178,49;199,03;179,57;200,38;180,66;205,98;Não;Não;Não;Não;;Negativa;Não;Tarja Vermelha(*)
"POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 7F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 18C;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9N;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 10A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 12F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 22F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9V;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 20;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 17F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 15B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 8;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 11A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 5;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 3;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 4;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 6B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 1;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 23F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 2;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 33F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 14";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;PNEUMOVAX™ 23;SOL INJ (MONODOSE) CT 1 FA X 0,5 ML;J7D1 - VACINAS PARA PNEUMONIA;Novo;Regulado;38,59;38,59;43,85;46,49;46,49;46,78;46,78;47,06;47,06;48,24;53,35;60,62;64,27;64,27;64,67;64,67;65,06;65,06;66,69;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
"POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 7F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 18C;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9N;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 10A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 12F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 22F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9V;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 20;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 17F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 15B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 8;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 11A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 5;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 3;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 4;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 6B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 1;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 23F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 2;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 33F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 14";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;PNEUMOVAX™ 23;SOL INJ (MONODOSE) CT 10 FA X 0,5 ML;J7D1 - VACINAS PARA PNEUMONIA;Novo;Regulado;385,92;385,92;438,55;464,96;464,96;467,78;467,78;470,63;470,63;482,4;533,51;606,27;642,78;642,78;646,68;646,68;650,62;650,62;666,89;Não;Não;Sim;Não;;Positiva;Não;Tarja  Vermelha
VIRUS DA VARICELA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;VACINA VARICELA (ATENUADA);1350 UFP PO LIOF SOL INJ CT  FA VD INC + FA VD INC DIL X 0,7 ML;J7E2 - VACINA CONTRA VARICELLA;Novo;Regulado;103,04;103,04;117,09;124,14;124,14;124,9;124,9;125,66;125,66;128,8;142,45;161,87;171,62;171,62;172,67;172,67;173,72;173,72;178,06;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
VIRUS DA VARICELA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;100;5,44E+12;    -     ;VACINA VARICELA (ATENUADA);1350 UFP PO LIOF SOL INJ CT 10 FA VD INC + 10 FA VD INC DIL X 0,7 ML;J7E2 - VACINA CONTRA VARICELLA;Novo;Regulado;1030,41;1030,41;1170,92;1241,46;1241,46;1248,98;1248,98;1256,6;1256,6;1288,01;1424,48;1618,73;1716,25;1716,25;1726,64;1726,64;1737,18;1737,18;1780,6;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
VACINA SARAMPO, CAXUMBA, RUBÉOLA (ATENUADA);45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;M-M-R II;PO LIOF SOL INJ CT FA VD INC DOSE UNICA + FA VD INC DIL;J7B2 - ASSOCIAÇÔES COM VACINA ANTI-SARAMPO E PAROTIDITE;Novo;Regulado;22,37;22,37;25,42;26,95;26,95;27,12;27,12;27,28;27,28;27,96;30,93;35,14;37,26;37,26;37,49;37,49;37,71;37,71;38,65;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
"VÍRUS DA CAXUMBA;VÍRUS DA RUBEOLA;VÍRUS DO SARAMPO";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;M-M-R II;PO LIOF SOL INJ CT 10 FA VD INC DOSE UNICA + CT 10 FA VD INC DIL;J7B2 - ASSOCIAÇÔES COM VACINA ANTI-SARAMPO E PAROTIDITE;Novo;Regulado;223,67;223,67;254,17;269,48;269,48;271,12;271,12;272,77;272,77;279,59;309,21;351,38;372,54;372,54;374,81;374,81;377,09;377,09;386,52;Não;Não;Sim;Não;;Positiva;Não;Tarja -(*)
"CILASTATINA SÓDICA;IMIPENÉM MONOIDRATADO";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;TIENAM;500 MG + 500 MG PO INJ IV CT 25 FA VD INC;J1P2 - CARBAPENEMES E PENEMES;Novo;Regulado;3278,44;3278,44;3725,5;3949,93;3949,93;3973,87;3973,87;3998,1;3998,1;4098,05;4532,25;5150,29;5460,55;5460,55;5493,64;5493,64;5527,14;5527,14;5665,31;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
CLORIDRATO DE DORZOLAMIDA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;TRUSOPT;20 MG/ML SOL OFT CT FR PLAS TRANS X 5 ML;S1E2 - PREPARAÇÕES ANTIGLAUCOMAS E MIÓTICAS TÓPICAS;Novo;Regulado;60,64;60,64;68,91;73,06;73,06;73,5;73,5;73,95;73,95;75,8;83,83;95,26;101;101;101,61;101,61;102,23;102,23;104,79;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
FINASTERIDA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;PROSCAR;5 MG COM REV CT BL AL PLAS INC X 30;G4C3 - BPH INIBIDORES DA 5-ALFA TESTOSTERONA REDUTASE (5-ARI) PUROS;Novo;Regulado;183,37;183,37;208,38;220,93;220,93;222,27;222,27;223,62;223,62;229,21;253,5;288,07;305,42;305,42;307,28;307,28;309,14;309,14;316,87;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
VÍRUS DA HEPATITE A PURIFICADO INATIVADO;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;VAQTA;25 U SUS INJ IM CT 1 FA VD INC X 0,5 ML;J7E4 - VACINA PARA HEPATITE;Novo;Regulado;58,78;58,78;66,8;70,82;70,82;71,25;71,25;71,68;71,68;73,48;81,26;92,35;97,9;97,9;98,5;98,5;99,09;99,09;101,58;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
